PALLFNFINDEXQ;
lin;Index 2016 = 100, Not Seasonally Adjusted
q;Quarterly
01.01.2003;2003-01-01 to 2022-01-01
Global Price Index of All Commodities;
International Monetary Fund;
date;value
1.1.2003;67,17082279
4.1.2003;63,09552864
7.1.2003;64,07361085
10.1.2003;68,44764177
1.1.2004;73,84529076
4.1.2004;78,20273795
7.1.2004;80,42551791
10.1.2004;84,22907861
1.1.2005;89,13060824
4.1.2005;93,71565664
7.1.2005;103,1132243
10.1.2005;104,852212
1.1.2006;106,9474169
4.1.2006;117,6061135
7.1.2006;118,9123765
10.1.2006;113,2646525
1.1.2007;115,7421842
4.1.2007;126,760848
7.1.2007;128,9829849
10.1.2007;144,8992919
1.1.2008;162,3987853
4.1.2008;189,0977525
7.1.2008;183,2719459
10.1.2008;117,7439886
1.1.2009;102,8881795
4.1.2009;112,6097334
7.1.2009;120,2636738
10.1.2009;131,7032916
1.1.2010;140,1892111
4.1.2010;143,1906162
7.1.2010;141,9703219
10.1.2010;159,1069141
1.1.2011;179,3077518
4.1.2011;189,5164031
7.1.2011;184,9043467
10.1.2011;176,1619247
1.1.2012;182,6602395
4.1.2012;173,2193103
7.1.2012;170,9985274
10.1.2012;170,7954145
1.1.2013;174,1531859
4.1.2013;166,7296352
7.1.2013;168,2198753
10.1.2013;166,0646157
1.1.2014;169,1701478
4.1.2014;169,6111462
7.1.2014;160,2919928
10.1.2014;137,4192168
1.1.2015;115,1286013
4.1.2015;116,6795865
7.1.2015;104,8754949
10.1.2015;96,43237245
1.1.2016;88,76723713
4.1.2016;100,183254
7.1.2016;103,1634644
10.1.2016;107,8860445
1.1.2017;114,3835422
4.1.2017;108,4862391
7.1.2017;111,4742086
10.1.2017;119,8379746
1.1.2018;127,6757567
4.1.2018;131,1281403
7.1.2018;130,2259131
10.1.2018;123,7472175
1.1.2019;118,6666018
4.1.2019;119,807738
7.1.2019;114,9573115
10.1.2019;116,6611059
1.1.2020;108,078767
4.1.2020;91,72649731
7.1.2020;106,7385184
10.1.2020;117,098717
1.1.2021;139,7360354
4.1.2021;154,1448654
7.1.2021;167,5216159
10.1.2021;187,7238231
1.1.2022;211,7252472
